Ref.Sig.R2	Ref.Sig.R4	Ref.Sig.R6a	Ref.Sig.R1	Ref.Sig.R7	Ref.Sig.R5	Ref.Sig.R6b	Ref.Sig.R8	Ref.Sig.R3	Ref.Sig.R9	Ref.Sig.R10	Ref.Sig.R11	Ref.Sig.R12	Ref.Sig.R13	Ref.Sig.R14	Ref.Sig.R15	Ref.Sig.R16	Ref.Sig.R17	Ref.Sig.R18	Ref.Sig.R19	Ref.Sig.R20	unassigned
1078_fuzzy_called_somatic	44.6462098196384	0	0	0	0	0	0	0	15.567990296743	120.895119133207	0	0	0	0	0	0	0	0	0	0	0	5.89068075041143
1082_fuzzy_called_somatic	110.140028986654	0	0	0	0	19.8225391803583	0	0	20.9519157786916	142.202716608743	0	0	0	0	0	0	0	0	0	0	0	10.8827994455534
1083_fuzzy_called_somatic	156.795786042299	0	0	0	0	0	0	0	27.8791049042254	178.063742988906	0	0	0	0	23.2838287570612	0	0	0	0	0	0	36.9775373075087
1086_fuzzy_called_somatic	48.1952910322202	0	0	0	0	0	0	0	14.922885281708	141.718005238553	0	0	0	0	0	0	0	0	0	0	0	8.16381844751879
1103_fuzzy_called_somatic	62.6983873874393	0	0	0	0	0	0	63.2279077484904	98.2650273585983	170.158033120902	0	0	0	0	0	0	0	0	0	0	0	24.6506443845697
1110_fuzzy_called_somatic	142.465032318882	0	0	0	0	86.2917115863577	0	0	0	162.302239137287	0	0	0	0	0	0	0	0	0	0	0	17.9410169574737
1118_fuzzy_called_somatic	124.455253137203	0	0	56.1587572585674	0	0	0	0	345.918711843574	189.191464944016	0	0	0	0	0	0	0	0	0	0	0	19.2758128166397
1124_fuzzy_called_somatic	226.630558624061	0	0	0	0	0	0	0	328.44554933667	208.054263650705	0	0	0	0	0	0	0	0	0	0	0	19.8696283885627
1319_fuzzy_called_somatic	49.3144957460831	33.5512681828514	0	0	0	0	0	0	22.6809219031835	140.456339786228	0	0	0	0	0	0	0	0	20.5510352144579	0	0	36.4459391671959
1331_fuzzy_called_somatic	94.1840603045872	0	0	0	0	52.2622366116976	0	0	20.8141417586743	176.689427513199	0	0	0	0	0	0	0	0	0	0	0	8.05013381184159
1347_fuzzy_called_somatic	77.8702291863099	0	0	0	0	169.922941752745	0	0	0	126.33459274312	0	0	0	0	0	0	0	0	0	0	0	35.8722363178255
1349_fuzzy_called_somatic	70.6270517676185	0	0	0	0	0	0	0	0	137.49467792039	0	0	0	0	12.3528342141188	0	0	0	0	0	0	26.5254360978727
1367_fuzzy_called_somatic	70.3932379692315	0	0	0	0	47.3305695428891	0	0	17.4244430226104	177.464374771845	0	0	0	0	0	0	0	0	0	0	0	2.38737469342436
1371_fuzzy_called_somatic	181.988312171684	0	0	44.1469368586453	0	0	0	0	0	150.807590502342	0	0	0	0	0	0	0	0	0	0	0	42.0571604673288
1389_fuzzy_called_somatic	90.9414672759241	0	0	0	0	0	0	0	0	137.240783019736	0	0	0	0	0	0	0	0	0	0	0	29.8177497043397
1401_fuzzy_called_somatic	0	0	0	0	0	0	0	4770.83758766653	0	0	0	0	0	0	0	0	0	0	0	0	0	197.162412333466
1402_fuzzy_called_somatic	69.7381661409723	63.8963343294179	0	0	0	0	156.215781286118	0	0	144.997195725269	0	0	0	0	0	0	0	0	0	0	0	50.1525225182227
1411_fuzzy_called_somatic	48.4434330811292	0	0	0	0	31.6120072765819	0	0	26.5513729322476	138.410012108192	0	0	0	0	0	0	0	0	0	0	0	19.983174601849
1419_fuzzy_called_somatic	50.2635328927656	0	0	0	0	0	0	0	18.6549685644755	144.759246272355	0	0	0	14.7901424632246	0	0	0	0	0	0	0	22.5321098071789
1438_fuzzy_called_somatic	51.2165052124872	0	0	0	0	0	50.723490416412	0	0	131.076484376256	0	0	0	0	0	0	0	0	18.0965187279851	0	0	17.8870012668598
1454_fuzzy_called_somatic	39.8662589801412	0	0	0	0	0	0	0	23.161827677009	144.085460260518	0	0	0	0	0	0	0	0	0	0	0	1.88645308233131
1459_fuzzy_called_somatic	57.8093767067153	58.4442300571111	31.6048078910023	0	0	0	0	0	26.9813382645092	137.407071995788	0	0	0	0	0	0	0	0	0	30.0565415209386	0	45.6966335639353
1460_fuzzy_called_somatic	48.0153972513465	0	0	0	0	0	0	0	29.4085729887386	143.420018996354	0	0	0	0	0	0	0	0	0	0	0	8.15601076356046
1466_fuzzy_called_somatic	0	0	0	98.8268504141601	0	0	0	0	56.61061673286	152.428858775537	0	0	0	0	485.220356986998	0	0	0	0	0	0	28.9133170904454
1477_fuzzy_called_somatic	63.5290576856256	0	0	0	0	0	0	0	22.652465381217	146.331516668315	0	0	0	0	0	0	0	0	0	0	0	3.48696026484205
1487_fuzzy_called_somatic	110.258625182904	0	0	154.248140344127	0	63.9080159304665	0	0	34.4888729094572	144.043839228971	0	0	0	0	0	0	0	0	0	0	0	29.0525064040739
1491_fuzzy_called_somatic	80.9897500130055	0	0	40.2493293617627	0	0	0	0	0	157.213966914445	0	0	0	0	0	0	0	0	0	0	0	18.5469537107864
1514_fuzzy_called_somatic	83.4369862141917	0	0	0	0	0	0	0	15.9941274400844	141.709548014514	0	0	0	0	0	0	0	0	0	0	0	38.8593383312104
1542_fuzzy_called_somatic	104.19499670895	0	0	0	0	118.898316338088	0	0	0	136.995473581006	0	0	0	0	0	0	0	0	0	0	0	9.91121337195636
1544_fuzzy_called_somatic	120.134889254475	0	0	30.8333299573111	0	37.8755054841475	0	0	0	151.958406208664	0	0	0	0	0	0	0	0	0	0	0	57.1978690954029
1548_fuzzy_called_somatic	52.9589872613125	0	0	0	0	0	0	0	29.6388190236156	150.988632449534	0	0	0	0	17.2759433470734	0	0	0	0	0	0	16.1376179184644
1552_fuzzy_called_somatic	41.3368371476633	0	0	20.7514116405975	0	0	28.9135065209562	0	23.8905732337984	152.856411902273	0	0	0	0	24.6366372088084	0	0	0	0	45.5459028780272	0	50.0687194678761
1557_fuzzy_called_somatic	174.246250109515	0	0	0	0	0	0	0	330.501723528681	191.609271350495	0	0	0	0	0	0	0	0	0	0	0	35.6427550113087
1558_fuzzy_called_somatic	100.910133796256	23.7918566764239	19.3650817867439	0	0	0	0	0	19.25234694434	137.016707100965	0	0	0	0	0	0	19.4580426897816	0	0	0	0	41.2058310054892
1562_fuzzy_called_somatic	64.7463679135837	0	19.9638672553541	0	0	0	0	0	17.8408831744484	156.51434511075	0	0	0	0	0	0	0	0	0	0	0	40.9345365458641
1570_fuzzy_called_somatic	91.5382545055358	0	0	0	0	31.8483189518788	0	0	46.7097939252439	170.764915329646	0	0	0	0	31.2217406768612	0	0	0	0	0	0	20.9169766108341
1571_fuzzy_called_somatic	178.100899948043	0	0	0	0	0	0	0	0	144.790122775592	0	0	0	0	0	0	0	0	0	0	0	60.1089772763652
1574_fuzzy_called_somatic	57.966193485592	0	0	37.970948918844	0	0	0	0	129.485495533236	169.929993375648	0	0	0	0	0	0	0	0	0	0	0	2.64736868668012
1594_fuzzy_called_somatic	44.5229712088539	0	0	0	0	0	18.1304055240087	0	21.6095085991996	120.438128372531	0	0	13.1098865447935	0	13.8141180701193	0	0	0	0	0	0	16.3749816804942
1596_fuzzy_called_somatic	20.5779958919648	0	0	0	0	0	0	0	21.0540042385237	105.941814387996	0	0	0	0	0	0	0	0	0	0	0	9.42618548151594
1614_fuzzy_called_somatic	82.968572073334	0	0	0	0	0	0	0	199.296588992208	159.564365210234	0	0	0	0	0	0	0	0	0	0	0	8.17047372422394
1622_fuzzy_called_somatic	59.7532246895725	0	0	0	19.2013166389474	0	0	0	17.5049353913634	148.893491152244	0	31.4805767149524	0	0	0	0	0	0	0	0	0	15.1664554129206
1632_fuzzy_called_somatic	119.66014696719	0	0	0	0	0	0	0	115.81179478116	170.144876338151	0	33.3032102703411	0	0	0	0	0	0	0	0	0	15.0799716431576
1634_fuzzy_called_somatic	81.1859375984505	0	26.2419130158714	0	0	104.010223284249	0	0	30.7252666288664	119.380546854227	0	0	0	0	0	0	0	0	0	0	0	26.4561126183348
1666_fuzzy_called_somatic	90.4483111279789	0	0	0	0	0	0	0	331.679371124312	152.171403434921	0	0	0	0	0	0	0	0	0	0	0	3.70091431278888
1678_fuzzy_called_somatic	51.8612288534412	0	0	0	0	0	0	0	25.6504681238737	157.298189421409	0	0	0	0	0	0	0	0	33.8870764831462	0	0	24.3030371181304
1831_fuzzy_called_somatic	52.2800077456905	0	0	0	0	0	39.0071184585233	0	22.9202021623255	134.967602896309	0	0	0	0	0	0	0	0	0	0	60.9279554930786	5.89711324407352
1970_fuzzy_called_somatic	0	68.9169945443428	50.5271722265809	0	0	0	165.743926343915	0	0	129.359808067989	0	0	0	0	0	0	0	0	0	0	0	40.4520988171718
2000_fuzzy_called_somatic	45.4279625669501	0	0	111.407408022811	0	0	0	0	0	166.117630096108	0	0	0	0	245.778131356191	0	0	0	0	0	0	15.2688679579403
2024_fuzzy_called_somatic	74.4881088310924	0	0	0	0	21.2865570921495	0	0	18.7283433214478	235.704772774244	0	0	0	0	0	0	0	0	0	0	0	0.792217981066358
2045_fuzzy_called_somatic	61.0235230939029	0	0	39.7316908001058	0	0	0	0	59.5867336260397	175.658052928958	0	0	0	0	0	0	0	0	0	0	0	-4.49006620328873e-07
2050_fuzzy_called_somatic	106.849744927212	0	0	0	0	107.341028137625	0	0	0	228.29676936351	0	0	0	0	0	0	0	0	0	0	0	34.512457571653
2290_fuzzy_called_somatic	100.521113620607	0	0	0	0	0	0	0	138.420356772159	189.354766544806	0	0	0	0	0	0	0	0	0	0	0	22.7037630624287
2391_fuzzy_called_somatic	79.8421674001774	0	0	0	0	90.8058208329497	0	0	0	167.307051921876	0	0	0	0	0	0	0	0	0	0	0	22.0449598449969
2400_fuzzy_called_somatic	227.587484634894	0	0	0	0	0	0	0	0	158.041295145225	0	0	0	0	0	0	0	0	0	0	0	74.3712202198805
2485_fuzzy_called_somatic	36.4406520066153	0	0	0	0	0	0	0	24.102656565059	138.878430663755	0	0	0	0	0	0	0	0	47.9980417162653	0	28.3749929112593	27.2052261370456
2523_fuzzy_called_somatic	82.2853906242874	0	52.4882924631058	0	0	0	0	0	18.2877407507713	147.275177813712	0	0	0	0	0	0	0	0	0	0	0	37.6633983481239
2528_fuzzy_called_somatic	46.8970058497687	0	14.1808943802351	0	0	0	0	0	20.9045988930804	144.986055095018	0	0	0	0	0	0	0	0	0	0	0	16.031445781898
