feature	mean	sd
CN_annot	0.075416	0.263959494246785
del	0.72428	0.44694028596195
dup	0.089308	0.286340578031037
exon_annot	0.14424	0.351602925448279
hom_gc	0.296084854080375	0.307907538425204
insertion_gc	0.100095426165107	0.223490197530513
inter	0.0947499999999999	0.291593797298878
inv	0.0916619999999997	0.288880922583075
log_gnomad_d_bkpt1	2.29503821809841	2.67952097825695
log_gnomad_d_bkpt2	2.06275153066582	2.73996888072297
log_homlen	0.535364228706659	0.529242379374819
log_insertion_len	0.234387195581688	0.533241849276153
log_line_dist	2.58856442770256	1.14699008959004
log_num_sv_sample	3.35006533715679	0.0861183442113088
log_sine_dist	2.78455695452936	1.13395273081417
log_SPAN	4.21832789015232	1.61729197559184
log_sv_count_5Mbp	0.936258261342178	0.399437073221142
log_sv_dist	4.41955737698472	2.42775449751762
sv_reptime_left	-0.0640095371696176	0.973558721943447
sv_reptime_right	-0.087997457209238	0.963272737117706
tp53_status	-0.0542299999999998	0.90716635056364
